Smol Croxy,Price,Source,,Alt
bearings 6x17 mm,$5.00,https://www.aliexpress.us/item/3256806840177845.html?spm=a2g0o.productlist.main.4.7380733chUP72p&aem_p4p_detail=202506102246174579776944356950001170446&algo_pvid=f7c2777a-7858-46a5-9efe-6ba6ba68bcfd&algo_exp_id=f7c2777a-7858-46a5-9efe-6ba6ba68bcfd-3&pdp_ext_f=%7B%22order%22%3A%22757%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%216.40%210.99%21%21%2145.76%217.09%21%402101e7f617496207774395265e114a%2112000039136654294%21sea%21US%216390120822%21ABX&curPageLogUid=PbujDYuyROA0&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202506102246174579776944356950001170446_2,y,
,,,,
,,,,
Extruder + Hotend,,,,
Bambu clone hotend,$7.00,https://www.aliexpress.us/item/3256808727224396.html?spm=a2g0o.productlist.main.32.c1c544ED44EDL6&algo_pvid=e706de7e-5cbe-4648-91c4-030129bf9602&algo_exp_id=e706de7e-5cbe-4648-91c4-030129bf9602-31&pdp_ext_f=%7B%22order%22%3A%2214%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%2121.36%216.22%21%21%2121.36%216.22%21%40210312d517496266607085895e22b4%2112000047177656469%21sea%21US%216390008046%21ABX&curPageLogUid=sikhBRkhDz1D&utparam-url=scene%3Asearch%7Cquery_from%3A,y,
BMG clone extruder,$6.00,https://www.aliexpress.us/item/3256805805447850.html?spm=a2g0o.productlist.main.7.3ce93ae14ou9FX&algo_pvid=d5674794-46ca-47b3-b12f-8cb1f652468e&algo_exp_id=d5674794-46ca-47b3-b12f-8cb1f652468e-6&pdp_ext_f=%7B%22order%22%3A%22127%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%215.91%215.71%21%21%2142.37%2140.94%21%40210337bc17490034624662927e7119%2112000035210668495%21sea%21US%210%21ABX&curPageLogUid=Q1lIWxmGTDVg&utparam-url=scene%3Asearch%7Cquery_from%3A,y,
,,,,
PTFE tube,$4.00,https://www.aliexpress.us/item/3256805576880920.html?spm=a2g0o.productlist.main.9.a9e95fc3UUGhml&algo_pvid=958c30b6-7394-4f6f-8859-b140b42992c9&algo_exp_id=958c30b6-7394-4f6f-8859-b140b42992c9-8&pdp_ext_f=%7B%22order%22%3A%22232%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%212.18%210.99%21%21%212.18%210.99%21%402101d9ef17496251860828249ec8df%2112000034266253284%21sea%21US%216390120822%21ABX&curPageLogUid=HeGhwrjsGYUm&utparam-url=scene%3Asearch%7Cquery_from%3A,y,
bowden connectors,$2.00,https://www.aliexpress.us/item/3256802731755032.html?spm=a2g0o.productlist.main.35.6e997869O8bJs3&algo_pvid=a0e4a392-e212-43ea-ad50-1e98adb176a7&algo_exp_id=a0e4a392-e212-43ea-ad50-1e98adb176a7-32&pdp_ext_f=%7B%22order%22%3A%22435%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%212.42%210.99%21%21%212.42%210.99%21%40210337bc17496248397982579e8fa2%2112000025977629855%21sea%21US%216390120822%21ABX&curPageLogUid=kx6dBOVIEIq4&utparam-url=scene%3Asearch%7Cquery_from%3A,y,
,,,,
BED,,,,
Buildplate,$16.00,https://www.aliexpress.us/item/3256808481230553.html?src=google&pdp_npi=4%40dis%21USD%2110.46%2110.46%21%21%21%21%21%40%2112000046161234568%21ppc%21%21%21&gPromoCode=5000000169902232&gQT=1&gatewayAdapt=glo2usa#nav-specification,y,
,,,,
